192.175.48.1/32 #AS3460 IHEP Institute of High Energy Physics, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS3717 ERX-BUCT-NET Beijing University of Chemical Technology, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
119.164.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.176.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.233.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
119.248.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
120.0.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
120.65.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
120.72.32.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
121.16.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
121.52.224.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.96.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.102.64.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.114.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.136.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.156.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.188.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
122.192.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.4.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.8.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.117.141.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.125.29.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.128.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.138.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.144.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.148.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.152.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.188.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
123.232.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.66.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.67.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.88.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.128.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.152.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.160.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
124.240.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.32.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.240.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.243.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.244.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.247.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.248.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.251.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.252.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.34.254.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.35.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.36.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.40.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
125.211.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
139.159.112.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
139.170.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
139.208.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
144.48.64.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
146.196.68.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
150.129.136.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
150.242.232.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
150.255.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
153.0.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
153.3.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
153.34.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
153.36.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
153.99.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
153.101.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
157.0.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
165.101.70.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
165.101.208.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
171.34.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
171.36.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
171.116.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
171.120.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
175.16.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
175.42.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
175.44.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
175.146.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
175.148.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
175.152.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
175.160.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
175.184.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
180.95.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
180.129.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
180.130.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
180.178.252.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
182.50.8.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
182.54.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
182.88.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
182.112.0.0/12 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
183.92.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
183.184.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.38.164.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.63.160.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.75.208.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.91.224.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.96.64.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.97.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.98.0.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.99.21.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.99.56.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.99.64.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.99.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.102.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.102.224.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.106.133.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.107.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.108.3.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.108.6.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.108.146.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.110.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.110.192.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
202.111.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
203.79.0.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
203.80.144.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
203.93.0.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
203.93.144.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
203.93.160.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
210.5.128.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
210.12.50.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
210.22.48.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
210.22.199.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
210.51.212.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
210.53.6.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
210.76.32.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.90.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.90.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.90.192.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.90.216.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.90.224.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.91.0.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.91.64.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.91.96.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.91.120.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.91.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.91.216.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.91.224.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.92.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.92.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.92.192.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.92.224.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.92.244.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.93.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.93.128.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.93.144.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.93.160.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.93.192.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.93.200.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.93.204.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.93.211.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.93.212.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.93.224.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.94.37.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.94.192.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.97.64.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.97.128.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.97.160.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.97.176.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.97.192.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.101.192.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.101.240.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.102.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.155.232.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.158.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
211.162.200.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.7.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.8.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.12.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.21.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.24.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.28.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.56.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.60.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.62.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.67.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.68.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.98.0.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.98.160.0/24 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.104.64.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.104.96.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.104.128.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.104.224.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.106.80.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.106.96.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.106.112.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.106.144.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
218.107.192.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
219.154.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
219.156.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
219.158.0.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
219.158.32.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
219.158.58.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
219.158.60.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
219.158.96.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
219.159.0.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.114.250.0/23 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.192.0.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.192.64.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.192.80.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.192.96.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.192.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.193.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.194.64.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.194.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.195.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.195.128.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.195.192.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.197.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.197.160.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.197.192.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.200.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.200.128.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.200.148.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.200.152.0/21 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.200.160.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.200.192.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.201.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.202.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.203.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.203.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.205.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.207.184.0/22 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.248.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.249.64.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.249.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
220.250.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.0.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.5.128.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.6.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.8.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.12.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.12.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.13.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.14.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.192.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.196.0.0/15 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.198.0.0/16 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.199.0.0/17 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.199.128.0/18 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.199.192.0/20 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.199.224.0/19 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.200.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
221.208.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
222.132.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
222.136.0.0/13 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
222.160.0.0/14 #AS4837 CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
192.175.48.1/32 #AS4839 CERNAP2-CN NAP2 at CERNET located in Shanghai, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS4840 CERNAP3-CN NAP3 at CERNET located in Guangzhou, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
45.9.11.0/24 #AS4842 TH-AS-AP Tianhai InfoTech, CN
192.175.48.1/32 #AS4843 CAINONET-CN-AS-AP China MSTs High Speed Router Test Network, CN - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
1.119.128.0/18 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
1.119.192.0/21 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
1.119.200.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
1.119.208.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
1.202.0.0/15 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
36.110.0.0/17 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
36.112.0.0/16 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
43.225.216.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
43.226.236.0/23 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
43.226.239.0/24 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
43.227.140.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
43.229.184.0/23 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
43.240.202.0/24 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
43.243.12.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
43.254.25.0/24 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
43.254.26.0/23 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
43.254.88.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
43.254.200.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
45.121.52.0/24 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
45.121.55.0/24 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
45.124.20.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
45.126.112.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
45.127.144.0/21 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
45.251.20.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
45.254.8.0/23 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
49.221.26.0/23 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
49.221.64.0/19 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
49.221.128.0/19 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
58.68.236.0/24 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
58.68.247.0/24 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
58.116.0.0/14 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
58.128.0.0/13 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
59.108.0.0/16 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
60.195.248.0/21 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
60.247.0.0/17 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.39.0.0/16 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.40.0.0/16 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.49.148.0/23 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.52.204.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.52.240.0/21 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.96.128.0/23 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.96.130.0/24 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.96.132.0/23 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.96.134.0/24 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.96.142.0/23 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.104.144.0/20 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.104.160.0/20 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.106.0.0/19 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.246.172.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
101.246.176.0/20 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
103.1.8.0/22 #AS4847 CNIX-AP China Networks Inter-Exchange, CN
